comment,score
To this day I still wished Palworld followed this route of graphics instead of the realistic one,0
lmfao instead of making grizzbolt cover they gave him a minigun XD,0
"Remember back when we thought this must be a scam trailer for a game that will never see the light of day and run off with any money we put in it ? ... Yeah, I know who's laughing now, and damn do they deserve to !",0
Now THIS is a Pokemon game that I would play!,0
Wish it was made on unity instead.,0
"Me: That’s a bit of a mash up of genres there…Pal World: <span class=""yt-core-attributed-string--italicized"" dir=""auto"" style=""font-weight: 400;"">pulls out sweatshop whip",0
"Dang this was lookin good then boom, guns, edgeynesswhat a waste",0
I’m surprised that no one commented that (at least in a cutscene) we can do the Akira motorbike slide. On a pokemon.,-1
"bro this looks way better than the actual game, how did they mess up this bad",-2
this looks like such a fun game,2
This didnt age well,0
"This is the most bootleg thing I have seen in a while, even the character designs are straight up stolen.",0
finalmente saiu a continuação de mundo aberto do aclamado pintópolis,0
"""Like Pokemon with Guns""... and animal cruelty.  Using a crying sheep as a bullet proof shield, drowning an electric type for fishing... and slave labour in a gun factory. I don't know what to think.""Leafon get on my head and use your special attack UZI!!!""",0
Yeahh! This is the true Pokemon game we been waiting for!,0
Im glad the game doesnt look like this. This looks like trash compared to what we got.,3
Wow... Talk about a downgrade... Now the game looks like a fanmade generic Unreal Engine tech demo with lighting that doesn't fit the cartoony models. And apparently a lot of features in this 2 year old trailer aren't even there.,0
And people tell me cyberpunk lied about content. This game is overhyped af. What we got is a bad ark clone without dinos.,-2
This is literally just LibRight Pokemon.,0
"Yup, this is pokemon gun.Also as an American I can confirm this is located in America.",0
This is the best flaunting of dark humor I have seen in awhile. Lol. Also I’m playing it.,1
what genre is this,0
quando sai?,0
"""Game: Pokemon Sword and Shield"" Thanks youtube, looks like they finally embraced GUN",1
元々はレヴィドラとゴクエンオ配合するとアグニドラができる予定だったのか…,0
This is actually fucking awesome,1
Woah! So Pokémon Gun really exits!!!!,0
"Ahh, nature is beautiful",0
youtube algorithm never fails,0
So this is Pokémon gun that everyone is talking about,0
IM CRYING THE GUN SWEAT SHOP NOOOOOOO,0
i need this,0
Isso foi de 0 a 100 muito rápido,0
I WOULD TOTALLY PLAY THIS LMAO,0
i need this,0
I want this.,0
Any one fine the waggon the direhowls were pulling?,0
Bro holy shit this looks fun.,0
THIS IS POKEMON GUN！！！,0
the poor wooloo,0
im buying this game as soon as i can,0
This game will change everything,0
讚啦,0
"""A pokemon clone ? Whateve..""GUN",-1
"Well, this is... amusing. lol",0
"Welcome to Palworld here you can explore the area to encounter and tame Pals where you then can:     - Go for a scenic ride     - Camp out with you new best friends     - Build  a cozy home and set up a farm     - Slaughter your enemies, riddle them full of bullets and lick the tears off their charred corpses as you pillage the lands     - Go fishing",1
"Real talk, how much green are you on to even turn this concept into a breathing game and can I have some",0
I really want to play this game.,0
"I unironically want this game, it actually looks like a Pokémon killer",1
I’ll take your entire stock,0
Oye porque la tortuga no hira invertida en la versión final,-1
I want this game so bad,-1
I'm going to buy this.Edit: 2022 :(,0
&gt;uses a sheep as a bullet shield&gt;sheep starts crying Well I’m sold,0
"this essentially pokemon with guns, this is awesome, i hope it ends up being good",2
Um what... I wasn't expecting that.,0
This game has got to be the younger brother of Rimworld,0
I'm interested lmao. I don't understand what's the gameplay loop here but is we'll see I suppose.,-1
Is palworld on mobile,-1
i instantly liked this when I saw a fucking tower get shot by a ROCKET LAUNCHER OF ALL THINGS?!,0
=)))) roller coaster of emotions,0
"Ah yes, Pokemon: War Crimes",1
Pokémon Gun…. Finally I’ve found you…..,0
Kid: Mom! I want the new pokemon! Mom: WE HAVE POKEMON AT HOME,0
This trailer is more hype than a pokemon game.,1
They pulled out the guns and my brain turned into sand. -__-,0
"that went from ""kinda reminds me of zoo tycoon"" to ...not that! real quick",0
"Although ""Pokemon: Gun"" is accurate, I feel like ""Pokemon Far Cry"" is a little more precise",1
"PETA, is that you?",0
I kind of like this game’s ideas in making the monsters more interwoven into the world.,1
"Finally... we have pokemon <span class="""" dir=""auto"" style=""font-weight: 500;"">G",0
"Honey, wake up! Genshin Impact and Pokemon had a kid together... i think?",0
ah yes ive always wanted to use a sheep to block bullets,1
God I want this to be good.,1
I  have a friend with this wolfdog that looks similar to those husky-looking things =D,0
"Olay but update to the most grossing game atm<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🎉"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f389.png"">",0
WHY ARE THERE GUNS HAHDNSKDKALNDSLDYOU ARE USING THE SHEEP AS A SHIELD??!!YoU ENSLAVE THEM?DUDE NOOOO,0
I love it.,1
When does this come out and does it on pc,0
When does it release?,0
"""like pokemon with guns""",0
that armor would be amazing to have in game! We need modders on this stat!,0
"""Oh, just a Pokemon knockoff- wait, this looks unique-WAIT WHAT THE HELL?"" Everyone- circa, 2021.",0
